Disease,Description
Fungal infection,"Fungal infections occur when fungi overgrow on the skin, causing symptoms like itching, redness, and rashes. They thrive in warm, moist areas, and can spread if untreated."
Allergy,"An allergy is an immune system reaction to harmless substances, such as pollen or certain foods. It causes symptoms like sneezing, itching, swelling, and skin rashes, which vary in severity."
GERD,"GERD is a digestive disorder where the lower esophageal sphincter weakens, allowing stomach acid to flow into the esophagus. This causes heartburn, chest pain, and potential long-term damage."
Chronic cholestasis,"Chronic cholestasis is a condition where bile flow from the liver is reduced, leading to bile buildup in the liver, causing symptoms like jaundice, itching, and potential liver damage."
Drug Reaction,"A drug reaction occurs when the body has an adverse response to a medication, leading to symptoms like rashes, swelling, difficulty breathing, or gastrointestinal issues, which may require medical attention."
Peptic ulcer disease,"Peptic ulcer disease is characterized by sores or ulcers forming on the stomach or small intestine lining, causing symptoms like abdominal pain, bloating, nausea, and indigestion, often due to acid buildup."
AIDS,"AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV, which attacks and weakens the immune system, making the body vulnerable to infections and certain cancers."
Diabetes,"Diabetes is a chronic condition where the body struggles to regulate blood sugar levels, either due to insufficient insulin production or the body's inability to respond to insulin effectively."
Gastroenteritis," Gastroenteritis is the inflammation of the stomach and intestines, often caused by viral or bacterial infections, leading to symptoms like diarrhea, vomiting, abdominal pain, and nausea."
Bronchial Asthma,"Bronchial asthma is a respiratory condition where inflammation and narrowing of the airways cause difficulty in breathing, wheezing, coughing, and shortness of breath, often triggered by allergens or environmental factors."
Hypertension," Hypertension, or high blood pressure, is a common cardiovascular condition where the force of blood against the artery walls is consistently too high, increasing the risk of heart disease and stroke."
Migraine,"Migraine is a type of headache characterized by intense, throbbing pain, often accompanied by sensitivity to light, sound, and nausea, and can last for hours or even days."
Cervical spondylosis," Cervical spondylosis is a degenerative condition of the cervical spine, causing the wear and tear of discs and joints, leading to neck pain, stiffness, and sometimes nerve-related symptoms."
Paralysis (brain hemorrhage),"Paralysis due to a brain hemorrhage occurs when bleeding in the brain disrupts nerve function, leading to the loss of muscle control and movement, often affecting one side of the body."
Jaundice," Jaundice is a condition characterized by a yellow discoloration of the skin and eyes, typically caused by liver dysfunction, leading to an accumulation of bilirubin in the blood."
Malaria,"Malaria is a mosquito-borne infectious disease caused by parasites, leading to symptoms like fever, chills, and flu-like illness. It primarily affects humans and can be severe without proper treatment.       "
Chicken pox,"Chickenpox is a highly contagious viral infection caused by the varicella-zoster virus, leading to an itchy rash, fever, and blisters that typically appear on the skin.       "
Dengue,"Dengue is a mosquito-borne viral infection that causes flu-like symptoms, including high fever, headache, joint pain, rash, and nausea, and can lead to severe complications in some cases.       "
Typhoid,"Typhoid is a bacterial infection caused by Salmonella typhi, leading to high fever, abdominal pain, nausea, and diarrhea. It can be severe without treatment and affects the gastrointestinal system."
hepatitis A,"Hepatitis A is a viral liver disease caused by the Hepatitis A virus (HAV), leading to symptoms like jaundice, fatigue, nausea, and abdominal pain, often transmitted through contaminated food or water."
Hepatitis B,"Hepatitis B is a viral infection caused by the Hepatitis B virus (HBV) that attacks the liver, leading to symptoms like jaundice, fatigue, and abdominal pain, and can cause chronic liver damage.       "
Hepatitis C,"Hepatitis C is a viral infection caused by the Hepatitis C virus (HCV) that leads to liver inflammation, often causing symptoms like fatigue, jaundice, and abdominal pain, and can lead to chronic liver disease.       "
Hepatitis D,"Hepatitis D is a serious liver disease caused by the hepatitis D virus (HDV), which only occurs in individuals already infected with hepatitis B, leading to severe liver damage and increased risk of cirrhosis.       "
Hepatitis E,"Hepatitis E is a viral infection caused by the Hepatitis E virus (HEV), leading to liver inflammation, jaundice, fatigue, and abdominal pain, typically transmitted through contaminated water.       "
Alcoholic hepatitis,"Alcoholic hepatitis is inflammation of the liver caused by excessive alcohol consumption, leading to symptoms like jaundice, fatigue, nausea, and abdominal pain, and can progress to liver damage if untreated.       "
Tuberculosis,"Tuberculosis (TB) is a bacterial infection primarily affecting the lungs, causing symptoms like persistent cough, chest pain, fever, and weight loss. It can spread to other parts of the body if untreated."
Common Cold,"The common cold is a viral infection of the upper respiratory tract, causing symptoms like a runny nose, cough, sore throat, sneezing, and mild fever, typically resolving within a week or two.       "
Pneumonia,"Pneumonia is an inflammatory condition that affects the air sacs in the lungs, causing symptoms like cough, fever, difficulty breathing, and chest pain, often caused by bacterial, viral, or fungal infections.       "
Dimorphic hemmorhoids(piles),"Dimorphic hemorrhoids (piles) is a condition characterized by swollen or inflamed blood vessels in the rectum or anus, causing symptoms like pain, itching, bleeding, and discomfort during bowel movements.       "
Heart attack,"A heart attack occurs when there is a sudden and severe reduction in blood flow to the heart muscle, causing damage or death to heart tissue, often resulting in chest pain, shortness of breath, and nausea.       "
Varicose veins,"Varicose veins are enlarged, twisted veins that often appear on the legs, causing symptoms like pain, swelling, and a heavy feeling, typically due to weakened vein valves that affect blood flow.       "
Hypothyroidism,"Hypothyroidism is a condition where the thyroid gland produces insufficient thyroid hormone, leading to symptoms like fatigue, weight gain, cold intolerance, and depression, affecting metabolism and overall body function."
Hyperthyroidism,"Hyperthyroidism is a condition where the thyroid gland produces excessive thyroid hormone, leading to symptoms like rapid heart rate, weight loss, anxiety, sweating, and increased metabolism, affecting various body functions."
Hypoglycemia,"Hypoglycemia is a condition characterized by abnormally low blood sugar levels, leading to symptoms like shakiness, dizziness, confusion, sweating, and in severe cases, loss of consciousness or seizures.       "
Osteoarthristis,"Osteoarthritis is a degenerative joint disease that occurs when the cartilage in joints breaks down, leading to pain, stiffness, swelling, and reduced mobility, commonly affecting weight-bearing joints like the knees and hips.   "
Arthritis,"Arthritis is inflammation of one or more joints, causing symptoms like pain, stiffness, swelling, and reduced range of motion, which can affect daily activities and may worsen over time.       "
(vertigo) Paroymsal Positional Vertigo,"Paroxysmal Positional Vertigo (PPV) is a type of dizziness triggered by specific head movements, caused by the displacement of tiny crystals in the inner ear, affecting balance and causing a spinning sensation.       "
Acne,"Acne is a skin condition that occurs when hair follicles become clogged with excess oil, dead skin cells, and bacteria, leading to pimples, blackheads, and inflammation, often affecting the face, back, and shoulders."
Urinary tract infection,"A urinary tract infection (UTI) is an infection that affects any part of the urinary system, including the kidneys, bladder, ureters, or urethra, causing symptoms like pain, frequent urination, and cloudy urine.       "
Psoriasis,"Psoriasis is a chronic skin condition where the immune system overreacts, causing red, itchy, and scaly patches on the skin, often on the elbows, knees, and scalp. "
Impetigo,"Impetigo is a highly contagious skin infection caused by bacteria, leading to red sores that can break open, ooze, and form a yellowish crust, commonly affecting children.       "
